問題,答え
OSI参照モデルの第2層は何ですか？,データリンク層
TCP/IPの第3層は何ですか？,ネットワーク層
OSI参照モデルとTCP/IPの1番の違いは何ですか？,OSIプロトコル→普及しなかった / TCP/IP→普及した
TCP/IPの実際のプロトコルは何ですか？,OSI参照モデルとTCP/IPの関係
TCP/IPの第1層は何ですか？,ネットワークインターフェイス層
OSI参照モデルの階層モデルでの通信の様子において，2階層以上はどのようなやりとりをする？,エンドツーエンドでやりとり
TCP/IPの第4層は何ですか？,トランスポート層
OSI参照モデルの第1層は何ですか？,物理層
TCP/IPにおいて，3階層はどのような相手とやりとりをする？,同じネットワーク内の相手との通信
OSI参照モデルにおいて，各階層は何のためにヘッダをつけるか？,下の階層への送信のため
TCP/IPでは，2階層において受け取ったヘッダはどう扱われるか？,3階層に持ち上げられる
OSI参照モデルの階層のイメージにおいて，各階層は何を担当しているか？,違う仕事を担当している
TCP/IPにおいて，5〜7階層は何によって実現されるか？,アプリケーションソフトウェア
OSI参照モデルの第3層は何ですか？,ネットワーク層
TCP/IPの第2層は何ですか？,ネットワーク層
OSI参照モデルの第7層は何ですか？,物理層
データリンク層において送受信される単位は何ですか？,フレーム
データリンク層で扱われる情報としてどのような情報が記載されるか？,送信者と受信者の情報等
データリンク層において使われるアドレスは何ですか？,MACアドレス
メディアアクセス制御プロトコルで，他のコンピュータが送信しているか確認する方法は何ですか？,CSMA